Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-10.45508,4.984728,-27.325079,29.678547,259.8545138888889,32.59835,54.548416,386.28516,41.148457,-18.899933,0.0,388.94275,0.23146337,2023-09-16 20:30:30
-7.1846886,1.0947983,-29.050522,29.945805,259.85520833333334,37.591816,63.033936,421.3307,18.810034,-38.4136,0.0,423.55106,0.35008854,2023-09-16 20:31:30
-7.857442,4.710176,-28.279129,29.725988,259.85590277777777,35.42484,63.551777,417.33066,24.709269,-37.713158,0.2626174446364128,420.02783,0.34032854,2023-09-16 20:32:30
-7.317391,0.4194472,-28.737925,29.657856,259.8565972222222,33.747467,58.319218,422.3572,2.6542482,-38.21458,0.0,424.09268,0.2742791,2023-09-16 20:33:30
-12.632998,6.056593,-24.471699,28.198208,259.85729166666664,30.69283,55.677574,401.0778,16.134123,-25.175823,0.0,403.18405,0.25151402,2023-09-16 20:34:30
-13.750475,5.5490727,-24.51913,28.654066,259.85798611111113,31.095278,61.042103,401.97565,-7.6163793,-36.600555,0.0,404.80722,0.29661185,2023-09-16 20:35:30
-12.472793,7.4621944,-26.03987,29.82163,259.85868055555557,26.233034,52.903763,399.5089,14.002015,-36.420315,0.0,401.4118,0.17352676,2023-09-16 20:36:30
-11.526332,7.533634,-26.363485,29.742989,259.859375,33.63566,63.031387,412.85815,26.269938,-39.38026,0.0,415.56445,0.31750607,2023-09-16 20:37:30
-9.83665,3.602716,-27.013063,28.973175,259.86006944444443,33.178135,62.806564,407.82382,-1.5799286,-38.89918,0.0,409.71756,0.32770076,2023-09-16 20:38:30
-7.055455,-1.1856197,-27.889492,28.792515,259.86076388888887,33.471764,61.75795,422.00684,-35.89589,-34.50684,0.0,425.05063,0.3236777,2023-09-16 20:39:30
